COD_PROV,DES_PROV,COD_MUNI,DES_MUNI,COD_DM,DES_DM,COD_SECC,DES_SECC,COD_BP,DES_BP,ICV_1,ICV_2,ICV_3,ICV_4,NO_CAT,P_ICV1Y2
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,018,LAS AUYAMAS,7,24,24,10,8,42.47
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,013,EL CHORRO,156,253,116,25,59,67.16
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,001,LA CIENAGUITA,21,31,12,1,11,68.42
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,005,EL ARENASO,73,136,90,10,36,60.58
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,002,EL PUENTE,85,183,154,30,28,55.83
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,004,DON MIGUEL,0,0,0,0,2,0
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,003,LA CULATA,53,119,78,15,44,55.66
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,010,EL PINO DE LAS SIETE HOJAS,0,0,0,1,0,0
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,016,EL LIMÓN,9,0,0,0,1,90
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,009,LOS CAYETANOS,16,0,0,0,3,84.21
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,011,ARROYO NARANJO,10,0,0,0,1,90.91
13,LA VEGA,02,CONSTANZA,01,CONSTANZA,02,MALDONADO,012,LOS CORRALITOS,26,12,0,0,2,95
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,014,LOMA SUCIA,9,13,1,0,5,78.57
